"fb_var","toolkit_var"
"Q1_C1","vegan"
"Q1_C2","vegetarian"
"Q1_C3","kosher"
"Q1_C4","halal"
"Q83_dv","supp"
"eatsorganic_dv","organic"
"Q89","drankhomew"
"Q88","homewsource"
"Q91","swim"
"Q90_C3","truckwater"
"Q90_C5","cistern"
"Q90_C6","untreatwater"
"Q90_C7","otherwater"
"Q90_C8","unsurewater"
"Q10","minicar"
"Q100_dv","rabbit"
"Q101_dv","hedgehog"
"Q102_dv","bird"
"Q103_dv","animfddry"
"Q104_dv","animfdraw"
"Q105_dv","animfdparts"
"Q106_dv","animfdproc"
"Q109_dv","cattle"
"Q110_dv","poultry"
"Q111_dv","pig"
"Q112_dv","sheepgoat"
"Q11A_dv","microgreens"
"Q11B_dv","alfalfa"
"Q11C_dv","beansprouts"
"Q11D_dv","osprout"
"Q11_dv","sprouts"
"Q12","cucumbers"
"Q13","bpeppers"
"Q14","hotpeppers"
"Q15","snappea"
"Q16","mushroom"
"Q17A_dv","grnonion"
"Q17B_dv","redonion"
"Q17C_dv","oonion"
"Q17_dv","onions"
"Q18","anybasil"
"Q19","cilantro"
"Q20","parsley"
"Q21","ofherb"
"Q22A_dv","mango_f"
"Q22B_dv","mango_z"
"Q22C_dv","mango_d"
"Q22_dv","mango"
"Q23A_dv","papaya_f"
"Q23B_dv","papaya_z"
"Q23C_dv","papaya_d"
"Q23_dv","papaya"
"Q24B_dv","pomegra_z"
"Q24_dv","pomegra"
"Q25A_dv","avocado_f"
"Q25B_dv","avocado_z"
"Q25_dv","avocado"
"Q26A_dv","cantaloup_f"
"Q26B_dv","cantaloup_z"
"Q26_dv","cantaloup"
"Q27A_dv","honeydew_f"
"Q27B_dv","honeydew_z"
"Q27_dv","honeydew"
"Q28A_dv","watermel_f"
"Q28B_dv","watermel_z"
"Q28_dv","watermel"
"Q29A_dv","peach_f"
"Q29B_dv","peach_z"
"Q29_dv","peach"
"Q30A_dv","nectarine_f"
"Q30B_dv","nectarine_z"
"Q30_dv","nectarine"
"Q31A_dv","strawb_f"
"Q31B_dv","strawb_z"
"Q31C_dv","strawb_d"
"Q31_dv","strawb"
"Q32A_dv","raspb_f"
"Q32B_dv","raspb_z"
"Q32C_dv","raspb_d"
"Q32_dv","raspb"
"Q33A_dv","blueb_f"
"Q33B_dv","blueb_z"
"Q33C_dv","blueb_d"
"Q33_dv","blueb"
"Q34A_dv","blackb_f"
"Q34B_dv","blackb_z"
"Q34C_dv","blackb_d"
"Q34_dv","blackb"
"Q35A_dv","coconut_f"
"Q35B_dv","coconut_z"
"Q36","fruitbz"
"Q37","fruitsm"
"Q38","unpjorc"
"Q39B_dv","peanut"
"Q39E_dv","walnut"
"Q39J_dv","pecan"
"Q39K_dv","onut"
"Q39_dv","anynuts"
"Q3_dv","babyfoods"
"Q40","sunflwsd"
"Q41","sunbutter"
"Q42","sesamesd"
"Q43","tahini"
"Q44","chia"
"Q45","flax"
"Q46","oseed"
"Q47AI_dv","bgroundraw"
"Q47A_dv","bground"
"Q47BI_dv","zbeefpatties"
"Q47B_dv","hamb"
"Q47C_dv","rawb"
"Q47D_dv","steak"
"Q47E_dv","stewingb"
"Q47F_dv","veal"
"Q47H_dv","bwhole"
"Q47_dv","anybeef"
"Q48A_dv","pground"
"Q48B_dv","sausage_pork"
"Q48C_dv","porkparts"
"Q48_dv","anypork"
"Q49AB_dv","cstuffed"
"Q49AI_dv","zcbreaded"
"Q49A_dv","cbreaded"
"Q49B_dv","cground"
"Q49C_dv","wholec"
"Q49D_dv","rawwholec"
"Q49E_dv","chickparts"
"Q49_dv","anychick"
"Q4_dv","anytom"
"Q50A_dv","sausage_turk"
"Q50B_dv","tground"
"Q50C_dv","turkparts"
"Q50_dv","anyturk"
"Q52A_dv","chickdeli"
"Q52B_dv","turkdeli"
"Q52C_dv","hamdeli"
"Q52D_dv","beefdeli"
"Q52E_dv","odeli"
"Q52_dv","deliany"
"Q53","hotdog"
"Q54","pate"
"Q55AI_dv","rawliver"
"Q55A_dv","vliver"
"Q55B_dv","oorgan"
"Q55_dv","organ"
"Q56","goat"
"Q57","lamb"
"Q58","horse"
"Q59","driedmeat"
"Q5A_dv","iceberg"
"Q5B_dv","romaine"
"Q5C_dv","spinach"
"Q5E_dv","kale"
"Q5F_dv","arugula"
"Q5G_dv","olettuce"
"Q5_dv","anylettuce"
"Q67","deer"
"Q69AI_dv","fishsmoke"
"Q69A_dv","anyfish"
"Q69BIII_dv","shrimp"
"Q69BII_dv","clams"
"Q69BIV_dv","oysters"
"Q69BI_dv","mussels"
"Q69B_dv","shellfish"
"Q69_dv","seafood"
"Q7","saladkit"
"Q70A_dv","eggraw"
"Q70_dv","egg"
"Q71","icecream"
"Q72","milkdess"
"Q73","yogurt"
"Q75A_dv","gouda"
"Q75C_dv","scheese"
"Q75_dv","anycheese"
"Q76","milko"
"Q77","nondairyo"
"Q78","flour"
"Q80","oflour"
"Q81A_dv","tofu"
"Q82","hummus"
"Q83A_dv","mealrepbev"
"Q83B_dv","protpowder"
"Q83C_dv","probiotics"
"Q85","butcher"
"Q8A_dv","cabbage"
"Q9","greensal"
"Q90_C3","ctruckedin"
"Q90_C6","cnottreated"
"Q90_C7","cotherw"
"Q95_dv","petdiarr"
"Q96_dv","domanim_dog"
"Q97_dv","domanim_cat"
"Q98_dv","domanim_reptile"
"Q99_dv","domanim_rodent"
"berries_dv","anyberry"
"freshherbs_dv","anyfreshherbs"
"melon_dv","melon"
"seeds_dv","anyseed"
